survived,sex,fare,sibsp,embarked,sex,embarked,class,who,adult_male,deck,embark_town,alive,alone
0.0,0.0,0.014151057562208046,1.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
1.0,1.0,0.02821271947802312,1.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,False
1.0,1.0,0.015468569817999838,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,True
1.0,1.0,0.02821271947802312,1.0,0.0,1.0,0.0,First,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.016509502093575778,0.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,True
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,True
0.0,0.0,0.04113566043083237,0.0,0.0,0.0,0.0,Third,child,False,0.0,Southampton,no,False
1.0,1.0,0.021730754366528396,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,False
1.0,1.0,0.058694292654020104,1.0,1.0,1.0,1.0,Second,child,False,0.0,Cherbourg,yes,False
1.0,1.0,0.03259622914329302,1.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,yes,False
1.0,1.0,0.05182214872781017,0.0,0.0,1.0,0.0,First,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.061044734518352656,1.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,1.0,0.015330377421392337,0.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,no,True
1.0,1.0,0.03122992013728673,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.05684821399990475,0.0,2.0,0.0,2.0,Third,child,False,0.0,Queenstown,no,False
1.0,0.0,0.025374310111545468,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,yes,True
0.0,1.0,0.03513366015444757,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
1.0,1.0,0.014102260811993545,0.0,1.0,1.0,1.0,Third,woman,False,0.0,Cherbourg,yes,True
0.0,0.0,0.050748620223090936,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
1.0,0.0,0.025374310111545468,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,yes,True
1.0,1.0,0.015671954672893913,0.0,2.0,1.0,2.0,Third,child,False,0.0,Queenstown,yes,True
1.0,0.0,0.06929138530460494,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,yes,True
0.0,1.0,0.04113566043083237,0.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,no,False
1.0,1.0,0.06126431989431795,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.014102260811993545,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,True
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,False
1.0,1.0,0.015379174171606854,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.015411575213749288,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.05410739813385612,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,True
1.0,1.0,0.02821271947802312,1.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,False
1.0,1.0,0.015126992566498262,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.020494635090094415,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,1.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,False
0.0,0.0,0.02821271947802312,1.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,False
1.0,0.0,0.014110458666029578,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,yes,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,1.0,0.03513366015444757,2.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
1.0,1.0,0.02194233707545852,1.0,1.0,1.0,1.0,Third,child,False,0.0,Cherbourg,yes,False
0.0,1.0,0.018493968331299487,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
0.0,1.0,0.04098927018018883,1.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,no,False
0.0,0.0,0.015411575213749288,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,True
1.0,1.0,0.08115719346076702,1.0,1.0,1.0,1.0,Second,child,False,0.0,Cherbourg,yes,False
1.0,1.0,0.015379174171606854,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.030253985132996517,1.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,False
1.0,1.0,0.015126992566498262,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.04231498029001666,2.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,False
0.0,1.0,0.03474328615273149,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
0.0,0.0,0.07746484096553544,0.0,0.0,0.0,0.0,Third,child,False,0.0,Southampton,no,False
0.0,0.0,0.015224586066927285,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,1.0,0.02821271947802312,1.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,False
1.0,1.0,0.050748620223090936,1.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.02821271947802312,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,False
1.0,0.0,0.06929138530460494,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,yes,True
1.0,1.0,0.020494635090094415,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.014110458666029578,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,True
1.0,1.0,0.054164392738106665,1.0,0.0,1.0,0.0,Second,child,False,0.0,Southampton,yes,False
0.0,0.0,0.09154270340242172,0.0,0.0,0.0,0.0,Third,child,False,0.0,Southampton,no,False
0.0,0.0,0.014110458666029578,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,True
1.0,1.0,0.02821271947802312,0.0,0.0,1.0,0.0,First,woman,False,0.0,,yes,True
0.0,0.0,0.02821271947802312,1.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,False
0.0,0.0,0.05445717323939374,0.0,0.0,0.0,0.0,Third,child,False,0.0,Southampton,no,False
0.0,0.0,0.05410739813385612,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,True
1.0,0.0,0.029757819776815374,1.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,yes,False
1.0,1.0,0.020494635090094415,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.015923941091001648,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,1.0,0.015468569817999838,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.016908073949327897,2.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,0.0,0.020494635090094415,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
0.0,1.0,0.09154270340242172,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,1.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,False
1.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,yes,True
0.0,0.0,0.014931805565640215,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.015411575213749288,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,0.0,0.056604230248832196,0.0,0.0,0.0,0.0,Second,child,False,0.0,Southampton,yes,False
1.0,1.0,0.02434957835704075,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.01756683007722379,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,0.0,0.018542765081514,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,yes,True
1.0,1.0,0.015200187691820029,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.09193307740413782,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,True
1.0,1.0,0.020494635090094415,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,True
1.0,1.0,0.03093713963599967,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.06709553154495196,1.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,1.0,0.02821271947802312,0.0,0.0,1.0,0.0,First,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.015330377421392337,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,1.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,False
0.0,0.0,0.040159725426542156,1.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,0.0,0.014151057562208046,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.06764049365134761,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,True
1.0,0.0,0.02821271947802312,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,yes,False
1.0,1.0,0.044893010197349675,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.050748620223090936,1.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,False
0.0,1.0,0.015411575213749288,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,True
0.0,0.0,0.015411575213749288,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,False
0.0,0.0,0.016891873428256675,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.015468569817999838,2.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,0.0,0.015411575213749288,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,1.0,0.014931805565640215,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,True
1.0,0.0,0.015175789316712767,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,yes,True
0.0,0.0,0.015411575213749288,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,1.0,0.04713766070721716,1.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,False
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,True
0.0,1.0,0.02821271947802312,1.0,1.0,1.0,1.0,Third,child,False,0.0,Cherbourg,no,False
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,1.0,0.019177122834302635,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
0.0,1.0,0.028220722145058302,0.0,1.0,1.0,1.0,Third,woman,False,0.0,Cherbourg,no,True
0.0,0.0,0.015468569817999838,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.015126992566498262,0.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,True
0.0,0.0,0.04098927018018883,1.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,False
0.0,0.0,0.02821271947802312,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,False
0.0,1.0,0.061044734518352656,0.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,no,False
0.0,0.0,0.02821271947802312,2.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,False
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.058694292654020104,1.0,1.0,0.0,1.0,Second,man,True,0.0,Cherbourg,no,False
1.0,1.0,0.025374310111545468,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,False
1.0,0.0,0.02194233707545852,1.0,1.0,0.0,1.0,Third,child,False,0.0,Cherbourg,yes,False
0.0,0.0,0.015126992566498262,0.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,True
1.0,0.0,0.013939670040278794,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,yes,True
1.0,1.0,0.04364049521284362,1.0,1.0,1.0,1.0,Third,woman,False,0.0,Cherbourg,yes,False
0.0,0.0,0.01361429330984844,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.015411575213749288,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,True
0.0,0.0,0.013760683560491963,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,1.0,0.0283021151244161,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
1.0,1.0,0.050748620223090936,1.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.025374310111545468,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
0.0,0.0,0.029367445775099293,0.0,1.0,0.0,1.0,Second,man,True,0.0,Cherbourg,no,True
1.0,1.0,0.05130158499652177,0.0,0.0,1.0,0.0,First,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.02821271947802312,1.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,False
0.0,0.0,0.01798980030808316,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,True
0.0,1.0,0.029757819776815374,0.0,1.0,1.0,1.0,Third,woman,False,0.0,Cherbourg,no,False
1.0,1.0,0.015126992566498262,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,True
1.0,1.0,0.03093713963599967,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.013175122557917845,0.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,True
0.0,0.0,0.022446505098674838,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
0.0,0.0,0.07173122281533047,1.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,False
1.0,0.0,0.015216388212891245,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,yes,True
0.0,1.0,0.06709553154495196,2.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,no,False
0.0,0.0,0.050748620223090936,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,False
0.0,0.0,0.025374310111545468,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
0.0,0.0,0.024447171857469766,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
1.0,1.0,0.02821271947802312,1.0,0.0,1.0,0.0,First,woman,False,0.0,Southampton,yes,False
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.0283021151244161,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,0.0,0.01427304943774433,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,False
1.0,1.0,0.015094396337354966,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.016908073949327897,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,0.0,0.031425107138144774,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
1.0,1.0,0.030741952635141623,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.015175789316712767,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.016908073949327897,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.07746484096553544,0.0,0.0,0.0,0.0,Third,child,False,0.0,Southampton,no,False
1.0,0.0,0.04006213192611313,0.0,0.0,0.0,0.0,Third,child,False,0.0,Southampton,yes,False
1.0,1.0,0.02821271947802312,0.0,0.0,1.0,0.0,First,woman,False,0.0,Southampton,yes,False
0.0,1.0,0.05445717323939374,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
0.0,0.0,0.050602229972447406,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.06538764528744409,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,True
0.0,0.0,0.05684821399990475,0.0,2.0,0.0,2.0,Third,child,False,0.0,Queenstown,no,False
1.0,1.0,0.021730754366528396,1.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,yes,False
0.0,0.0,0.015468569817999838,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.05991421140938288,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,no,True
0.0,0.0,0.015330377421392337,1.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,0.0,0.049707687947515,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,1.0,0.05604306762136532,0.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,no,True
0.0,0.0,0.025374310111545468,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,1.0,0.02821271947802312,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,no,False
0.0,0.0,0.02937564362913533,0.0,1.0,0.0,1.0,Second,man,True,0.0,Cherbourg,no,True
0.0,0.0,0.06126431989431795,0.0,0.0,0.0,0.0,Third,child,False,0.0,Southampton,no,False
1.0,0.0,0.0761229303346364,2.0,0.0,0.0,0.0,Second,child,False,0.0,Southampton,yes,False
1.0,1.0,0.042989936938983765,0.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,yes,False
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,no,True
1.0,1.0,0.030253985132996517,1.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,False
1.0,0.0,0.05182214872781017,0.0,0.0,0.0,0.0,First,man,True,0.0,Southampton,yes,True
0.0,0.0,0.030253985132996517,1.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,False
0.0,0.0,0.015411575213749288,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,1.0,0.025374310111545468,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.025374310111545468,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
1.0,1.0,0.015330377421392337,1.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,False
1.0,0.0,0.050748620223090936,1.0,0.0,0.0,0.0,Second,child,False,0.0,Southampton,yes,False
1.0,1.0,0.05410739813385612,0.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,True
1.0,1.0,0.02821271947802312,0.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,True
0.0,0.0,0.015126992566498262,0.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,True
0.0,0.0,0.01640390592611157,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
1.0,1.0,0.015126992566498262,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
0.0,1.0,0.025374310111545468,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,no,True
0.0,0.0,0.018542765081514,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.02821271947802312,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
0.0,0.0,0.012678957201736696,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.014102260811993545,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,no,True
1.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,yes,True
0.0,1.0,0.020421439964772647,0.0,0.0,1.0,0.0,Third,child,False,0.0,Southampton,no,False
0.0,0.0,0.03093713963599967,1.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,False
1.0,0.0,0.036670757786204655,0.0,1.0,0.0,1.0,Third,man,True,0.0,Cherbourg,yes,True
1.0,1.0,0.015126992566498262,0.0,2.0,1.0,2.0,Third,woman,False,0.0,Queenstown,yes,True
1.0,0.0,0.060507970265993034,0.0,1.0,0.0,1.0,First,man,True,0.0,Cherbourg,yes,True
0.0,0.0,0.013760683560491963,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
1.0,1.0,0.04098927018018883,0.0,0.0,1.0,0.0,Second,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.014151057562208046,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,no,True
0.0,0.0,0.025374310111545468,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
0.0,0.0,0.015126992566498262,1.0,2.0,0.0,2.0,Third,man,True,0.0,Queenstown,no,False
1.0,1.0,0.02821271947802312,1.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,False
1.0,1.0,0.015468569817999838,0.0,0.0,1.0,0.0,Third,woman,False,0.0,Southampton,yes,True
0.0,0.0,0.05270049023167136,1.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,False
1.0,1.0,0.02821271947802312,0.0,1.0,1.0,1.0,First,woman,False,0.0,Cherbourg,yes,True
0.0,0.0,0.020494635090094415,0.0,0.0,0.0,0.0,Second,man,True,0.0,Southampton,no,True
1.0,0.0,0.01571255356907239,0.0,0.0,0.0,0.0,Third,man,True,0.0,Southampton,yes,True
